model,metric,value
Lasso,rmse,4.124846996474358
Lasso,rmse,4.14537926948603
Lasso,rmse,4.2262196266789545
Lasso,rsq,0.06120651098272056
Lasso,rsq,-0.00829966699072432
Lasso,rsq,0.11460226036859422
Lasso,rsq,-0.002736929112809816
Lasso,rsq,0.1445002949364212
Lasso,rsq,-0.017314834014156233
Lasso,rsq,0.1563299399195447
Lasso,rsq,0.15692026657035452
Lasso,rsq,0.1288858210533793
Lasso,rsq,0.13941121749777152
Lasso,mae,3.2385497507744123
Lasso,mae,3.91444592250809
Lasso,mae,3.875187825030612
Lasso,mae,3.481055213057031
Lasso,mae,3.9553556268460666
Lasso,mae,3.8312087636861634
Lasso,mae,3.463631223302687
Lasso,mae,3.5583189606149803
Lasso,mae,3.5928281576836243
Lasso,mae,3.611827192838766
ElasticNet,rmse,3.4385750859384174
ElasticNet,rmse,4.121515181636721
ElasticNet,rmse,3.937300903846444
ElasticNet,rmse,3.554269817759515
ElasticNet,rmse,4.171420550526723
ElasticNet,rmse,3.9082388330004325
ElasticNet,rmse,3.7326941236412425
ElasticNet,rmse,3.6611808802831436
ElasticNet,rmse,3.6822226872949106
ElasticNet,rmse,3.7805118994753477
ElasticNet,rsq,0.2812116779879399
ElasticNet,rsq,0.14105447683484507
ElasticNet,rsq,0.2979574353573623
ElasticNet,rsq,0.22588855782927159
ElasticNet,rsq,0.28158442466935085
ElasticNet,rsq,0.21423235912457467
ElasticNet,rsq,0.31182725231490493
ElasticNet,rsq,0.3283750197509819
ElasticNet,rsq,0.3144349254442712
ElasticNet,rsq,0.3147729389817224
ElasticNet,mae,2.8070448935319567
ElasticNet,mae,3.534658711737966
ElasticNet,mae,3.440668337648492
ElasticNet,mae,3.0370049351714643
ElasticNet,mae,3.5576594456033424
ElasticNet,mae,3.339989855656967
ElasticNet,mae,3.122000368896667
ElasticNet,mae,3.1623949936875704
ElasticNet,mae,3.182525534449464
ElasticNet,mae,3.219353806008554
K-Neighbors,rmse,2.0407841630118555
K-Neighbors,rmse,2.607987730032486
K-Neighbors,rmse,2.233562177330195
K-Neighbors,rmse,1.6245512200810002
K-Neighbors,rmse,2.3878162966749907
K-Neighbors,rmse,1.968925256749648
K-Neighbors,rmse,2.084266457693609
K-Neighbors,rmse,1.6750621879002983
K-Neighbors,rmse,1.5335144820531257
K-Neighbors,rmse,1.8225440095280736
K-Neighbors,rsq,0.7476357566652704
K-Neighbors,rsq,0.6541584700032936
K-Neighbors,rsq,0.763091780703357
K-Neighbors,rsq,0.8359939009350406
K-Neighbors,rsq,0.7629492414694168
K-Neighbors,rsq,0.8032809069204943
K-Neighbors,rsq,0.7866039003703261
K-Neighbors,rsq,0.8453367176512332
K-Neighbors,rsq,0.8827242706620505
K-Neighbors,rsq,0.8420362271634507
K-Neighbors,mae,1.6480000000000001
K-Neighbors,mae,1.9680000000000002
K-Neighbors,mae,1.6000000000000003
K-Neighbors,mae,1.2041666666666666
K-Neighbors,mae,1.7416666666666667
K-Neighbors,mae,1.4749999999999996
K-Neighbors,mae,1.6208333333333331
K-Neighbors,mae,1.1625
K-Neighbors,mae,1.1749999999999998
K-Neighbors,mae,1.4416666666666669
Decision Tree,rmse,2.3916521486202797
Decision Tree,rmse,2.821347195933177
Decision Tree,rmse,1.6792855623746665
Decision Tree,rmse,1.7618645426554977
Decision Tree,rmse,2.165063509461097
Decision Tree,rmse,1.8984642916490864
Decision Tree,rmse,2.29128784747792
Decision Tree,rmse,2.140872096444188
Decision Tree,rmse,1.626601774661928
Decision Tree,rmse,1.8085445345175586
Decision Tree,rsq,0.6555325514819867
Decision Tree,rsq,0.6294748637339534
Decision Tree,rsq,0.872214970212398
Decision Tree,rsq,0.8056637778325897
Decision Tree,rsq,0.804892666726499
Decision Tree,rsq,0.8150831103846081
Decision Tree,rsq,0.7427054712698602
Decision Tree,rsq,0.7680177962141654
Decision Tree,rsq,0.8646835169986978
Decision Tree,rsq,0.840950760188869
